=== RAW SWEEP RESULTS ===
freq_hz,gain_dB,phase_deg,vmag_mV,vphs_mV
50000000,-1.1847,89.8465,865.64,901.54
55000000,-1.0391,122.1497,869.87,578.50
60000000,-1.0391,161.8426,869.87,181.57
65000000,-2.4952,146.6411,827.64,333.59
70000000,-5.0434,113.2822,753.74,667.18
75000000,-9.3388,82.0346,629.17,979.65
80000000,-3.5145,78.4453,798.08,1015.55
85000000,-4.3881,39.1747,772.74,1408.25
90000000,-5.8442,11.3052,730.52,1686.95
95000000,-8.2467,5.3935,660.84,1746.07
100000000,-6.8635,12.5720,700.96,1674.28
105000000,-4.6793,13.2054,764.30,1667.95
110000000,-11.1589,34.5298,576.39,1454.70
115000000,-12.4694,20.5950,538.39,1594.05
120000000,-7.5187,46.9866,681.96,1330.13
125000000,-8.1739,83.5125,662.96,964.88
130000000,-15.3816,107.7927,453.93,722.07
135000000,-15.5272,117.2937,449.71,627.06
140000000,-18.8034,105.6814,354.70,743.19
145000000,-20.1138,76.5451,316.70,1034.55
150000000,-18.9490,73.3781,350.48,1066.22
155000000,-19.0218,83.3013,348.37,966.99
160000000,-18.5849,79.9232,361.04,1000.77
165000000,-17.7841,60.0768,384.26,1199.23
170000000,-16.4008,75.4894,424.38,1045.11
175000000,-15.6728,97.6584,445.49,823.42
180000000,-16.5464,137.5624,420.15,424.38
185000000,-17.4201,60.0768,394.82,1199.23
190000000,-13.6343,128.0614,504.61,519.39
195000000,-14.2895,142.6296,485.60,373.70
200000000,-12.1054,155.7198,548.94,242.80
205000000,-10.0668,163.1094,608.06,168.91
210000000,-9.7028,138.4069,618.62,415.93
215000000,-8.3923,135.8733,656.62,441.27
220000000,-6.0626,112.4376,724.18,675.62
225000000,-6.2810,99.3474,717.85,806.53
230000000,-4.3153,78.8676,774.86,1011.32
235000000,-4.0241,55.4319,783.30,1245.68
240000000,-4.3881,38.1190,772.74,1418.81
245000000,-4.8249,22.7063,760.08,1572.94
250000000,-5.9170,11.9386,728.41,1680.61
255000000,-5.6258,5.1823,736.85,1748.18
260000000,-6.1354,5.3935,722.07,1746.07
265000000,-6.4266,8.9827,713.63,1710.17
270000000,-5.7714,21.0173,732.63,1589.83
275000000,-6.4266,41.4971,713.63,1385.03
280000000,-7.0091,53.7428,696.74,1262.57
285000000,-8.1011,69.3666,665.07,1106.33
290000000,-7.9555,82.0346,669.29,979.65
295000000,-7.8827,102.9367,671.40,770.63
300000000,-8.6108,125.5278,650.29,544.72
305000000,-9.4116,144.1075,627.06,358.93
310000000,-9.5572,154.4530,622.84,255.47
315000000,-7.6643,167.3321,677.74,126.68
320000000,-7.0819,155.0864,694.63,249.14
325000000,-7.5915,137.1401,679.85,428.60
330000000,-7.2275,124.4722,690.40,555.28
335000000,-6.5722,112.6488,709.40,673.51
340000000,-5.9898,99.7697,726.30,802.30
345000000,-5.1162,87.9463,751.63,920.54
350000000,-4.4609,74.4338,770.63,1055.66
355000000,-4.0241,61.9770,783.30,1180.23
360000000,-3.6601,49.9424,793.86,1300.58
365000000,-3.4417,39.3858,800.19,1406.14
370000000,-3.0048,28.6180,812.86,1513.82
375000000,-2.7136,17.8503,821.31,1621.50
380000000,-2.5680,7.7159,825.53,1722.84
385000000,-2.4952,0.1152,827.64,1798.85
390000000,-2.2040,0.1152,836.08,1798.85
395000000,-2.0584,7.2937,840.31,1727.06
400000000,-1.9856,18.6948,842.42,1613.05
405000000,-2.0584,30.0960,840.31,1499.04
410000000,-1.9128,42.3417,844.53,1376.58
415000000,-2.0584,56.2764,840.31,1237.24
420000000,-2.2768,71.0557,833.97,1089.44
425000000,-2.7136,86.4683,821.31,935.32
430000000,-3.3689,102.5144,802.30,774.86
435000000,-3.8785,117.0825,787.52,629.17
440000000,-4.4609,132.2841,770.63,477.16
445000000,-5.0434,150.0192,753.74,299.81
450000000,-5.7714,164.1651,732.63,158.35
455000000,-6.4994,165.0096,711.52,149.90
460000000,-6.9363,153.8196,698.85,261.80
465000000,-7.1547,136.7178,692.51,432.82
470000000,-7.1547,118.9827,692.51,610.17
475000000,-6.9363,102.5144,698.85,774.86
480000000,-6.5722,86.4683,709.40,935.32
485000000,-6.4266,71.4779,713.63,1085.22
490000000,-5.9898,56.4875,726.30,1235.12
495000000,-5.5530,43.6084,738.96,1363.92
500000000,-5.0434,30.9405,753.74,1490.59
505000000,-4.6065,18.9060,766.41,1610.94
510000000,-3.9513,8.3493,785.41,1716.51
515000000,-3.3689,1.5931,802.30,1784.07
520000000,-2.7864,3.9156,819.19,1760.84
525000000,-2.2768,15.3167,833.97,1646.83
530000000,-1.7672,28.6180,848.75,1513.82
535000000,-1.4759,42.7639,857.20,1372.36
540000000,-1.3303,57.3321,861.42,1226.68
545000000,-1.4031,71.4779,859.31,1085.22
550000000,-1.4759,85.4127,857.20,945.87
555000000,-1.6216,99.7697,852.98,802.30
560000000,-1.9128,113.4933,844.53,665.07
565000000,-2.3496,126.1612,831.86,538.39
570000000,-2.7136,138.8292,821.31,411.71
575000000,-3.2961,150.8637,804.41,291.36
580000000,-3.7329,162.0537,791.75,179.46
585000000,-4.3153,168.8100,774.86,111.90
590000000,-4.6793,169.0211,764.30,109.79
595000000,-4.9705,163.1094,755.85,168.91
600000000,-5.3346,152.7639,745.30,272.36
