=== ERROR TERMS ===
freq_hz,e00_re,e00_im,e11_re,e11_im,delta_e_re,delta_e_im
50000000,0.101905,0.057711,0.085548,0.095598,-1.023891,0.308098
60000000,0.098706,0.059321,0.060206,0.037037,-0.960712,0.455941
70000000,0.093707,0.060155,0.025687,-0.000530,-0.877919,0.581141
80000000,0.091120,0.062372,-0.002264,-0.020557,-0.788316,0.675455
90000000,0.084393,0.065409,-0.043086,-0.032272,-0.686375,0.758575
100000000,0.077221,0.068529,-0.078289,-0.041246,-0.593876,0.828753
110000000,0.068933,0.069895,-0.095049,-0.048640,-0.487567,0.883134
120000000,0.060984,0.070666,-0.108676,-0.053436,-0.385451,0.930594
130000000,0.054176,0.070300,-0.110959,-0.056119,-0.272473,0.970208
140000000,0.049213,0.071189,-0.107670,-0.059441,-0.160782,0.991932
150000000,0.043549,0.074789,-0.100270,-0.059701,-0.047208,1.014682
160000000,0.038404,0.075944,-0.084955,-0.067256,0.065123,1.013464
170000000,0.037676,0.073158,-0.073092,-0.072741,0.180705,0.998086
180000000,0.036995,0.076640,-0.061476,-0.079405,0.291526,0.974835
190000000,0.037722,0.073915,-0.043360,-0.081543,0.399297,0.939429
200000000,0.038908,0.080603,-0.032938,-0.090392,0.497631,0.895041
210000000,0.043226,0.080971,-0.017661,-0.096752,0.594435,0.837672
220000000,0.045600,0.079659,-0.007988,-0.098494,0.684797,0.767882
230000000,0.050891,0.081076,-0.001811,-0.099864,0.764660,0.690644
240000000,0.056491,0.084355,0.003746,-0.107320,0.839070,0.602355
250000000,0.066108,0.083846,0.003993,-0.108759,0.897576,0.504362
260000000,0.074928,0.086178,-0.004443,-0.116551,0.946535,0.397816
270000000,0.082235,0.083382,-0.004584,-0.111575,0.983973,0.291638
280000000,0.091820,0.082093,-0.011725,-0.114038,1.006116,0.181305
290000000,0.100901,0.081231,-0.022468,-0.125922,1.020656,0.081242
300000000,0.109700,0.076889,-0.036030,-0.148408,1.026736,0.029759
310000000,0.118124,0.074603,-0.048923,-0.183082,1.037229,0.037599
320000000,0.128386,0.071460,-0.076948,-0.215035,1.030934,0.101540
330000000,0.135570,0.062837,-0.086951,-0.225128,1.013454,0.198981
340000000,0.143375,0.057650,-0.095275,-0.232067,0.982891,0.301987
350000000,0.146633,0.052757,-0.092235,-0.233831,0.935451,0.405797
360000000,0.152450,0.047951,-0.083197,-0.233213,0.882853,0.501748
370000000,0.154434,0.046079,-0.065447,-0.238761,0.817711,0.593075
380000000,0.156406,0.044162,-0.045189,-0.234936,0.741321,0.675281
390000000,0.157223,0.046279,-0.020036,-0.229934,0.661312,0.751382
400000000,0.155737,0.046468,0.004647,-0.223483,0.568340,0.814963
410000000,0.155598,0.051480,0.039294,-0.215286,0.472317,0.871731
420000000,0.152720,0.055586,0.075620,-0.201879,0.373328,0.914932
430000000,0.147149,0.062349,0.100948,-0.181164,0.268604,0.947064
440000000,0.141488,0.071385,0.127896,-0.161821,0.163802,0.971509
450000000,0.133865,0.079779,0.145947,-0.133548,0.054695,0.984619
460000000,0.126452,0.086556,0.160316,-0.103242,-0.055313,0.981593
470000000,0.115419,0.092919,0.173868,-0.073551,-0.163695,0.968087
480000000,0.102844,0.099757,0.180806,-0.038110,-0.267781,0.941571
490000000,0.091258,0.107340,0.170515,-0.005241,-0.370092,0.906269
500000000,0.078360,0.114252,0.167806,0.030929,-0.467512,0.861266
510000000,0.063960,0.117708,0.149726,0.059493,-0.559366,0.807499
520000000,0.047102,0.120668,0.128661,0.088309,-0.641396,0.737687
530000000,0.028562,0.123040,0.097483,0.111351,-0.724180,0.660719
540000000,0.013166,0.123507,0.067136,0.134684,-0.792070,0.580719
550000000,-0.003690,0.121058,0.039656,0.145909,-0.846452,0.486613
560000000,-0.021114,0.117210,0.001875,0.150508,-0.893517,0.392255
570000000,-0.038040,0.113918,-0.032760,0.153420,-0.932311,0.295101
580000000,-0.050253,0.103617,-0.066562,0.133988,-0.949349,0.195186
590000000,-0.065862,0.095650,-0.094487,0.097197,-0.954311,0.118012
600000000,-0.075385,0.088339,-0.126890,0.040611,-0.956400,0.070519
