=== 50 ohm termination Standard / 20dB attenuation to incident===
Points: 52
freq_hz,gain_dB,phase_deg
40000000,0.0283,23.2062
50000000,-0.9974,15.3452
60000000,-1.4369,7.4843
70000000,-1.5102,0.2607
80000000,-1.0706,-4.4133
90000000,-0.7043,-5.9005
100000000,-0.5578,-6.3255
110000000,-0.4113,-6.7504
120000000,-0.4113,-6.7504
130000000,-0.4113,-6.5379
140000000,-0.4113,-6.3255
150000000,-0.4113,-6.3255
160000000,-0.4845,-6.1130
170000000,-0.4845,-5.9005
180000000,-0.5578,-5.9005
190000000,-0.7043,-5.9005
200000000,-0.7776,-5.6881
210000000,-0.8508,-5.4756
220000000,-0.9974,-5.2632
230000000,-1.1439,-5.2632
240000000,-1.3637,-5.0507
250000000,-1.5102,-4.8382
260000000,-1.6567,-4.6258
270000000,-1.8765,-4.2009
280000000,-2.0963,-3.7760
290000000,-2.3161,-3.3510
300000000,-2.5358,-2.7137
310000000,-2.8289,-1.8638
320000000,-3.1219,-0.8016
330000000,-3.4150,0.2607
340000000,-3.7080,1.5355
350000000,-4.0011,3.0227
360000000,-4.2208,4.7224
370000000,-4.5139,6.8469
380000000,-4.8069,8.7591
390000000,-5.0267,11.0961
400000000,-5.2465,13.6456
410000000,-5.3930,16.4075
420000000,-5.6128,19.3819
430000000,-5.6861,22.1439
440000000,-5.7593,25.1183
450000000,-5.7593,27.8802
460000000,-5.6861,30.6422
470000000,-5.6128,33.1917
480000000,-5.5396,35.7412
490000000,-5.3930,37.8658
500000000,-5.2465,39.9903
510000000,-5.1000,41.6900
520000000,-4.9535,43.3897
530000000,-4.8069,44.6644
540000000,-4.5872,45.5142
550000000,-4.4406,46.3641
--- sweep complete ---
