=== Open standard / 20dB attenuation on incident ===
Points: 52
freq_hz,gain_dB,phase_deg
40000000,21.5584,158.0000
50000000,21.7042,166.4615
60000000,21.7042,173.0192
70000000,21.4854,176.8269
80000000,21.3395,175.9808
90000000,21.0477,173.6538
100000000,20.9019,171.5385
110000000,20.8289,169.6346
120000000,20.6830,167.9423
130000000,20.6830,166.4615
140000000,20.6101,164.9808
150000000,20.6101,163.5000
160000000,20.6101,162.0192
170000000,20.6101,160.7500
180000000,20.5371,159.4808
190000000,20.6101,158.2115
200000000,20.6101,156.9423
210000000,20.6101,155.6731
220000000,20.6830,154.4038
230000000,20.6830,152.9231
240000000,20.7560,151.4423
250000000,20.8289,149.9615
260000000,20.9019,148.4808
270000000,20.9019,146.7885
280000000,20.9748,145.0962
290000000,21.0477,143.4038
300000000,21.0477,141.5000
310000000,21.0477,139.5962
320000000,21.0477,137.6923
330000000,20.9748,135.7885
340000000,20.9748,133.6731
350000000,20.9019,131.9808
360000000,20.8289,130.2885
370000000,20.7560,128.5962
380000000,20.6830,126.9039
390000000,20.5371,125.2116
400000000,20.3183,124.1539
410000000,20.2454,122.8846
420000000,20.0995,121.8269
430000000,20.0265,120.9808
440000000,19.9536,120.1346
450000000,19.8077,119.5000
460000000,19.6618,118.8654
470000000,19.5889,118.4423
480000000,19.5159,118.0192
490000000,19.4430,117.8077
500000000,19.3700,117.5962
510000000,19.3700,117.5962
520000000,19.3700,117.3846
530000000,19.3700,116.9616
540000000,19.3700,116.7500
550000000,19.4430,116.7500
--- sweep complete ---
