=== Short standard / 20 dB attenuation on incident ===
Points: 52
freq_hz,gain_dB,phase_deg
40000000,21.9960,-4.8846
50000000,21.9960,-4.2500
60000000,21.9960,-3.6154
70000000,22.0690,-2.7692
80000000,22.2149,-1.9231
90000000,22.2149,-1.0769
100000000,22.2149,-0.0192
110000000,22.2149,1.0385
120000000,22.2878,2.3077
130000000,22.3607,3.3654
140000000,22.3607,4.8462
150000000,22.3607,6.1154
160000000,22.3607,7.5962
170000000,22.3607,8.8654
180000000,22.2878,10.1346
190000000,22.2149,11.6154
200000000,22.2149,12.8846
210000000,22.1419,14.1538
220000000,22.0690,15.6346
230000000,21.9960,16.6923
240000000,21.9960,18.1731
250000000,21.9231,19.4423
260000000,21.7772,20.2885
270000000,21.7042,21.3462
280000000,21.6313,22.4038
290000000,21.5584,23.0385
300000000,21.4125,23.8846
310000000,21.4125,24.5192
320000000,21.3395,25.1538
330000000,21.3395,25.7885
340000000,21.3395,26.4231
350000000,21.2666,26.8462
360000000,21.2666,27.4808
370000000,21.3395,28.1154
380000000,21.3395,28.9615
390000000,21.4125,29.5962
400000000,21.4854,30.4423
410000000,21.5584,31.5000
420000000,21.6313,32.3462
430000000,21.7772,33.6154
440000000,21.8501,35.0962
450000000,21.9960,36.7885
460000000,22.0690,38.4808
470000000,22.1419,40.3846
480000000,22.2149,42.2885
490000000,22.2878,44.6154
500000000,22.2878,46.9423
510000000,22.2878,49.4808
520000000,22.2878,52.0192
530000000,22.2149,54.5577
540000000,22.1419,56.8846
550000000,21.9960,59.2115
--- sweep complete ---
