=== Vivaldi antenna sweep / 20dB attenuator / longer cable ===
Points: 256
freq_hz,gain_dB,phase_deg
40000000,20.8289,97.0769
42000000,20.9019,103.8462
44000000,20.9748,110.1923
46000000,20.9748,116.7500
48000000,21.0477,123.5192
50000000,21.0477,130.5000
52000000,21.1207,134.0962
54000000,21.1936,145.0962
56000000,21.1936,152.7115
58000000,21.1936,159.9038
60000000,21.2666,167.5192
62000000,21.2666,174.9231
64000000,21.3395,175.5577
66000000,21.3395,168.3654
68000000,21.3395,160.5385
70000000,21.4125,152.7115
72000000,21.3395,145.0962
74000000,21.4125,137.2692
76000000,21.4125,129.6538
78000000,21.4125,122.0385
80000000,21.4854,114.6346
82000000,21.4854,106.8077
84000000,21.5584,99.6154
86000000,21.5584,92.4231
88000000,21.6313,85.0192
90000000,21.6313,78.0385
92000000,21.7042,70.6346
94000000,21.7042,67.2500
96000000,21.7772,57.0962
98000000,21.1459,51.000
100000000,21.8501,43.7692
102000000,21.9231,37.2115
104000000,21.9231,30.4423
106000000,21.9231,24.0962
108000000,21.9231,17.7500
110000000,21.9960,11.6154
112000000,21.9231,5.2692
114000000,21.9231,-1.0769
116000000,21.9960,-6.7885
118000000,21.9960,-2.7692
120000000,21.9231,3.1538
122000000,21.9231,9.0769
124000000,21.8501,15.2115
126000000,21.8501,20.9231
128000000,21.7772,26.6346
130000000,21.7042,32.5577
132000000,12.0756,59.4231
134000000,21.6313,43.7692
136000000,21.5584,49.4808
138000000,21.4854,55.1923
140000000,21.4125,60.9038
142000000,21.4125,66.6154
144000000,21.3395,72.5385
146000000,21.2666,78.4615
148000000,21.1936,84.1731
150000000,21.1207,90.0962
152000000,21.1207,96.0192
154000000,20.9748,101.9423
156000000,20.9019,108.0769
158000000,20.9019,114.4231
160000000,20.8289,120.7692
162000000,20.8289,127.3269
164000000,20.7560,133.8846
166000000,20.7560,140.8654
168000000,20.6830,148.0577
170000000,20.6101,155.2500
172000000,20.5371,162.6538
174000000,20.5371,170.0577
176000000,20.5371,176.1923
178000000,20.4642,173.0192
180000000,20.3912,164.9808
182000000,20.3183,156.5192
184000000,20.2454,147.4231
186000000,20.1724,138.3269
188000000,20.0265,129.2308
190000000,19.8806,120.1346
192000000,19.8806,110.8269
194000000,19.8077,100.6731
196000000,19.6618,89.4615
198000000,19.3700,78.8846
200000000,19.0782,69.1539
202000000,19.0053,56.8846
204000000,18.4217,43.3462
206000000,17.5464,32.1346
208000000,16.4523,22.4038
210000000,15.9416,16.0577
212000000,15.5040,-1.2885
214000000,12.8050,-4.2500
216000000,10.9814,-5.3077
218000000,10.6897,-6.1538
220000000,10.5438,1.8846
222000000,9.2308,11.8269
224000000,6.8966,16.2692
226000000,5.7294,7.8077
228000000,6.3130,30.0192
230000000,1.4987,33.8269
232000000,-3.5345,30.8654
234000000,-14.0385,33.8269
236000000,-2.000,67.0000
238000000,5.3647,71.9039
240000000,8.8660,56.6731
242000000,10.3979,43.9808
244000000,11.5650,34.6731
246000000,12.3674,25.1538
248000000,12.8780,18.8077
250000000,13.8263,12.6731
252000000,14.4098,5.2692
254000000,14.9204,-1.7115
256000000,15.2851,-5.9423
258000000,16.0146,-2.7692
260000000,16.3793,4.4231
262000000,16.6711,10.7692
264000000,17.0358,17.1154
266000000,17.3276,23.4615
268000000,17.5464,30.0192
270000000,17.6923,35.5192
272000000,17.8382,41.0192
274000000,18.1300,46.7308
276000000,18.3488,52.4423
278000000,18.4217,58.1538
280000000,18.5676,63.0192
282000000,18.9324,68.0962
284000000,19.3700,74.8654
286000000,19.4430,82.2692
288000000,19.5889,88.6154
290000000,19.7347,95.1731
292000000,19.8077,102.1539
294000000,19.8806,109.1346
296000000,19.9536,116.3269
298000000,19.8806,123.3077
300000000,19.8077,129.8654
302000000,19.8077,136.6346
304000000,19.8077,143.6154
306000000,19.8077,150.5962
308000000,19.7347,158.0000
310000000,19.5889,165.1923
312000000,19.5159,172.5962
314000000,19.3700,176.4038
316000000,19.1512,171.9615
318000000,18.8594,164.5577
320000000,18.5676,158.0000
322000000,18.4947,151.6538
324000000,18.2759,144.4615
326000000,18.0570,137.6923
328000000,17.7653,131.3462
330000000,17.5464,125.0000
332000000,17.4005,119.2885
334000000,17.4005,113.1539
336000000,17.3276,106.3846
338000000,17.2546,99.6154
340000000,17.1817,92.4231
342000000,17.1088,85.4423
344000000,16.9629,78.4615
346000000,16.8899,71.4808
348000000,16.8170,65.3462
350000000,16.7440,58.7885
352000000,16.6711,52.0192
354000000,16.5981,46.0962
356000000,16.5252,39.9615
358000000,16.5981,34.0385
360000000,16.5981,27.9038
362000000,16.6711,21.9808
364000000,16.5981,16.0577
366000000,16.6711,10.5577
368000000,16.7440,5.2692
370000000,16.8899,-0.6538
372000000,17.0358,-4.8846
374000000,17.1817,-4.6731
376000000,17.5464,-0.2308
378000000,17.8382,6.3269
380000000,18.1300,13.3077
382000000,18.3488,20.7115
384000000,18.4217,28.1154
386000000,18.4947,35.0962
388000000,18.5676,42.0769
390000000,18.6406,49.2692
392000000,18.6406,56.6731
394000000,18.4947,63.8654
396000000,18.3488,70.6346
398000000,18.2029,76.9808
400000000,18.0570,82.9039
402000000,17.9111,88.4039
404000000,17.9111,94.1154
406000000,17.8382,100.2500
408000000,17.7653,107.0192
410000000,17.2546,119.5000
412000000,17.1088,122.0385
414000000,17.0358,124.5769
416000000,16.8899,129.2308
418000000,16.8170,134.0962
420000000,16.8170,139.5962
422000000,16.8170,145.9423
424000000,16.7440,152.7115
426000000,16.5252,159.0577
428000000,16.4523,165.1923
430000000,16.3064,171.7500
432000000,16.2334,175.9808
434000000,15.9416,173.4423
436000000,15.5769,166.8846
438000000,15.2851,161.1731
440000000,15.1393,154.6154
442000000,14.9204,147.4231
444000000,14.6286,140.6538
446000000,14.3369,134.3077
448000000,14.1180,128.5962
450000000,13.9721,121.8269
452000000,13.8992,115.0577
454000000,13.8263,107.6539
456000000,13.6804,99.8269
458000000,13.6074,92.0000
460000000,13.5345,82.9039
462000000,13.2427,73.5962
464000000,12.9509,64.5000
466000000,12.5133,56.0385
468000000,12.1485,48.4231
470000000,11.9297,40.5962
472000000,11.7109,31.9231
474000000,11.4191,23.6731
476000000,11.2003,15.6346
478000000,11.0544,6.1154
480000000,10.6167,-3.1923
482000000,10.1061,-3.8269
484000000,9.7414,1.8846
486000000,9.3767,9.5000
488000000,9.0849,16.4808
490000000,8.9390,23.4615
492000000,8.5743,30.4423
494000000,8.4284,37.2115
496000000,8.2825,44.8269
498000000,8.1366,54.1346
500000000,7.7719,62.1731
502000000,7.4072,70.6346
504000000,6.6048,80.5769
506000000,5.2918,85.8654
508000000,4.6353,87.3462
510000000,4.5623,90.0962
512000000,4.6353,96.2308
514000000,4.7082,105.1154
516000000,4.2706,115.4808
518000000,3.3952,126.4808
520000000,2.2281,134.5192
522000000,1.2069,143.4038
524000000,-0.5438,152.0769
526000000,-2.8050,154.8269
528000000,-3.8263,151.0192
530000000,-3.5345,156.5192
532000000,-5.2851,168.3654
534000000,-6.4523,173.6538
536000000,-7.2546,169.0000
538000000,-6.9629,145.3077
540000000,-6.5252,101.3077
542000000,-6.0875,59.0000
544000000,-5.2851,27.2692
546000000,-4.9204,6.3269
548000000,-4.4098,-2.1346
550000000,-3.6804,-1.7115
