=== Vivaldi Antenna Sweep / 20dB incident attenuator / normal cable ===
Points: 256
freq_hz,gain_dB,phase_deg
40000000,20.9748,85.2308
42000000,20.9019,90.9423
44000000,20.9748,97.2885
46000000,21.0477,103.2116
48000000,21.1207,109.5577
50000000,21.1936,116.1154
52000000,21.1936,122.6731
54000000,21.2666,129.6538
56000000,21.3395,136.4231
58000000,21.3395,143.6154
60000000,21.3395,150.8077
62000000,21.3395,158.0000
64000000,21.4125,165.1923
66000000,21.3395,172.3846
68000000,21.3395,176.8269
70000000,21.3395,171.9615
72000000,21.4125,164.9808
74000000,21.3395,157.7885
76000000,21.3395,150.8077
78000000,21.3395,143.8269
80000000,21.3395,136.8462
82000000,21.3395,130.0769
84000000,21.3395,123.3077
86000000,21.3395,116.7500
88000000,21.4125,110.4039
90000000,21.4125,104.0577
92000000,21.4125,97.7115
94000000,21.4125,91.7885
96000000,21.4854,85.6539
98000000,21.5584,79.9423
100000000,21.5584,74.0192
102000000,21.6313,68.0962
104000000,21.6313,62.5962
106000000,21.7042,57.0962
108000000,21.8501,51.3846
110000000,21.8501,45.8846
112000000,21.9231,40.1731
114000000,21.9231,34.6731
116000000,21.9231,29.1731
118000000,21.9231,23.8846
120000000,21.9960,18.8077
122000000,21.9960,13.3077
124000000,22.0690,8.0192
126000000,22.0690,5.2692
128000000,22.1419,-2.7692
130000000,22.0690,-7.0000
132000000,22.0690,-2.3462
134000000,14.1910,34.8846
136000000,21.9960,8.6538
138000000,21.9960,14.1538
140000000,21.9960,19.6538
142000000,21.9231,25.1538
144000000,21.8501,30.8654
146000000,21.7772,36.3654
148000000,21.7042,41.8654
150000000,21.6313,47.5769
152000000,21.5584,53.2885
154000000,21.4854,59.2115
156000000,21.4125,65.1346
158000000,21.3395,71.4808
160000000,21.1207,77.8269
162000000,20.9748,83.7500
164000000,20.9019,90.0962
166000000,20.7560,96.4423
168000000,20.5371,102.7885
170000000,20.4642,109.1346
172000000,20.3183,115.6923
174000000,20.1724,122.2500
176000000,20.1724,129.2308
