=== MODE 5: RAW SWEEP - LOAD standard===
Points: 52
freq_hz,gain_dB,phase_deg
40000000,-19.3493,29.2034
50000000,-20.3718,27.7208
60000000,-21.2482,26.2383
70000000,-22.1246,22.8496
80000000,-22.4897,20.5199
90000000,-22.8549,20.0963
100000000,-23.4391,20.3081
110000000,-24.1695,19.8845
120000000,-25.0459,18.4019
130000000,-25.9953,15.8604
140000000,-26.9447,11.2010
150000000,-27.6020,4.8472
160000000,-28.1132,0.6113
170000000,-28.1862,4.4236
180000000,-27.9671,13.5307
190000000,-27.4559,22.8496
200000000,-26.6526,30.2623
210000000,-25.5571,35.3454
220000000,-24.3886,37.8869
230000000,-23.2201,38.9458
240000000,-22.1976,38.7341
250000000,-21.2482,37.8869
260000000,-20.3718,36.1925
270000000,-19.7145,33.8628
280000000,-18.9842,31.7449
290000000,-18.3999,28.7798
300000000,-17.9617,25.6029
310000000,-17.5235,22.4260
320000000,-17.0854,19.0373
330000000,-16.7202,15.2250
340000000,-16.4281,11.6245
350000000,-16.2090,7.8123
360000000,-16.0629,3.7882
370000000,-15.9168,-0.4477
380000000,-15.7708,-4.0481
390000000,-15.8438,-4.4717
400000000,-15.7708,-2.3538
410000000,-15.7708,1.8821
420000000,-15.8438,6.5415
430000000,-15.9899,11.6245
440000000,-16.1359,16.7076
450000000,-16.2820,22.0024
460000000,-16.5741,27.5090
470000000,-16.7932,33.2274
480000000,-17.1584,39.1576
490000000,-17.5235,45.7232
500000000,-17.8157,52.2888
510000000,-18.3269,59.4898
520000000,-18.7651,67.3261
530000000,-19.2033,75.7978
540000000,-19.5684,84.6931
550000000,-20.0066,94.4356
--- sweep complete ---
