=== MODE 5: RAW SWEEP - SHORT standard ===
Points: 52
freq_hz,gain_dB,phase_deg
40000000,0.4699,12.9248
50000000,0.5428,18.2120
60000000,0.5428,23.9221
70000000,0.6157,29.6323
80000000,0.6157,35.5540
90000000,0.6157,41.4756
100000000,0.6157,48.0317
110000000,0.6157,54.3764
120000000,0.6157,60.7210
130000000,0.4699,67.0656
140000000,0.3970,73.8332
150000000,0.3240,80.3893
160000000,0.1782,87.1569
170000000,-0.0406,93.7131
180000000,-0.1135,100.4807
190000000,-0.2594,106.8253
200000000,-0.4052,113.3814
210000000,-0.5511,119.7260
220000000,-0.6240,126.2821
230000000,-0.6969,132.8383
240000000,-0.7699,139.3944
250000000,-0.8428,146.1620
260000000,-0.7699,152.7181
270000000,-0.7699,159.6972
280000000,-0.7699,166.4648
290000000,-0.6969,173.8668
300000000,-0.6240,176.4047
310000000,-0.6240,170.4831
320000000,-0.5511,162.6580
330000000,-0.5511,154.8330
340000000,-0.5511,147.0079
350000000,-0.6240,139.3944
360000000,-0.6969,131.7808
370000000,-0.7699,124.1673
380000000,-0.9157,116.9767
390000000,-1.1345,110.2091
400000000,-1.2804,103.6530
410000000,-1.4991,97.5198
420000000,-1.6450,91.8097
430000000,-1.7908,86.3110
440000000,-1.9367,81.2353
450000000,-2.0096,76.3711
460000000,-2.1555,71.5069
470000000,-2.1555,67.0656
480000000,-2.1555,62.8359
490000000,-2.1555,58.8176
500000000,-2.0826,54.5878
510000000,-2.0096,50.3581
520000000,-1.8638,46.1283
530000000,-1.7179,41.6871
540000000,-1.4262,37.2458
550000000,-1.2074,32.3816
--- sweep complete ---
