=== RAW SWEEP RESULTS ===
freq_hz,gain_dB,phase_deg
50000000,-1.1776,88.3465
52000000,-1.1047,101.2287
54000000,-0.9591,115.1668
56000000,-0.9591,130.1608
58000000,-1.0319,145.9995
60000000,-1.1047,161.4159
62000000,-1.0319,172.8198
64000000,-1.6145,156.9810
66000000,-3.0709,141.7758
68000000,-3.6535,131.0055
70000000,-4.7458,114.5332
72000000,-5.1099,103.5517
74000000,-6.3479,80.9551
76000000,-9.2608,97.0050
78000000,-5.1828,102.2846
80000000,-3.5079,78.6321
82000000,-3.2894,59.2033
84000000,-4.3817,45.4764
86000000,-4.2361,35.3396
88000000,-4.6730,21.1903
90000000,-5.9110,14.0101
92000000,-6.0566,3.6621
94000000,-6.9305,3.8733
96000000,-7.0761,5.5628
98000000,-4.6730,0.7056
100000000,-6.7120,14.0101
102000000,-9.2608,15.2772
104000000,-7.2946,3.8733
106000000,-5.6925,32.5942
108000000,-8.9695,44.2093
110000000,-10.7900,39.1409
112000000,-10.5716,40.1968
114000000,-13.2660,32.5942
116000000,-9.2608,14.4325
118000000,-7.9500,33.6501
120000000,-7.4402,48.0106
122000000,-7.5859,63.8493
124000000,-8.0228,76.3091
126000000,-8.0228,91.7255
128000000,-11.8095,118.9681
130000000,-14.6496,107.3530
132000000,-15.3050,107.3530
134000000,-15.8876,107.3530
136000000,-15.8876,115.3780
138000000,-17.6353,114.1109
140000000,-18.3635,113.6885
142000000,-17.9994,115.8003
144000000,-19.6015,97.2162
146000000,-19.5286,65.1164
148000000,-19.0189,63.6381
150000000,-18.0722,70.1848
152000000,-18.5820,60.4704
154000000,-18.5820,68.2841
156000000,-18.7276,67.2282
158000000,-18.3635,63.0046
160000000,-18.7276,75.8867
162000000,-18.5091,63.8493
164000000,-17.7081,62.5822
166000000,-17.4896,67.0170
168000000,-17.1255,75.0420
170000000,-16.6886,75.4644
172000000,-16.5430,89.1913
174000000,-15.8876,94.8932
176000000,-14.9409,111.3655
178000000,-15.1593,131.0055
180000000,-17.3440,135.2292
182000000,-18.8004,94.8932
184000000,-18.9461,66.5947
186000000,-15.5963,77.7874
188000000,-14.1398,107.5642
190000000,-13.8485,127.2042
192000000,-14.2127,138.8193
194000000,-14.5768,139.4528
196000000,-13.5573,143.6765
198000000,-12.1736,150.0120
200000000,-11.7367,158.4593
202000000,-10.8629,163.1053
204000000,-9.9890,163.1053
206000000,-9.5521,157.8258
208000000,-9.1880,148.7449
210000000,-9.6977,137.5522
212000000,-10.8629,137.9746
214000000,-8.6054,140.9311
216000000,-7.7315,130.7943
218000000,-7.0033,123.1918
220000000,-5.9110,111.7879
222000000,-6.4936,101.2287
224000000,-6.5664,95.7379
226000000,-5.9838,94.0485
228000000,-5.1099,87.2906
230000000,-4.7458,82.8558
232000000,-4.0176,68.9177
234000000,-3.9448,60.0480
236000000,-4.0904,51.8119
238000000,-4.2361,45.0540
240000000,-4.4545,38.0850
242000000,-4.6730,32.1718
