=== MODE 5: RAW SWEEP - Longer Cable - flower antenna===
Points: 256
freq_hz,gain_dB,phase_deg
40000000,-0.3388,73.1792
42000000,-0.2658,78.4778
44000000,-0.1927,83.9884
46000000,-0.1927,89.4990
48000000,-0.1196,95.2216
50000000,-0.0465,101.3680
52000000,-0.0465,107.7264
54000000,0.0266,113.8728
56000000,0.0997,120.4432
58000000,0.0997,127.2254
60000000,0.0997,130.6166
62000000,0.0997,140.5780
64000000,0.1727,147.3603
66000000,0.0997,154.3545
68000000,0.0997,161.3487
70000000,0.0997,168.1310
72000000,0.0997,174.4894
74000000,0.0997,176.6089
76000000,0.0997,170.8863
78000000,0.0266,164.5279
80000000,0.0266,158.1696
82000000,0.0266,151.8112
84000000,0.0266,145.4528
86000000,0.0266,139.5183
88000000,0.0997,133.5838
90000000,0.0997,127.8613
92000000,0.1727,122.1387
94000000,0.1727,116.4162
96000000,0.2458,110.9056
98000000,0.2458,105.8189
100000000,0.3189,100.3083
102000000,0.3920,95.2216
104000000,0.3920,90.1349
106000000,0.4651,85.0482
108000000,0.5382,79.9615
110000000,0.5382,75.0867
112000000,0.6113,70.0000
114000000,0.6113,65.1252
116000000,0.6843,60.2505
118000000,0.6843,55.5877
120000000,0.7574,50.7129
122000000,0.7574,45.8381
124000000,0.7574,41.1753
126000000,0.8305,36.0886
128000000,0.7574,31.4258
130000000,0.8305,26.5510
132000000,0.7574,21.6763
134000000,0.8305,16.8015
136000000,0.7574,11.9268
138000000,0.6843,6.8401
140000000,0.6843,1.9653
142000000,0.6113,-3.1214
144000000,0.5382,-7.3603
146000000,0.4651,-2.6975
148000000,0.3189,2.6011
150000000,0.2458,7.6879
152000000,0.1727,12.9865
154000000,0.0266,18.4971
156000000,-0.1196,24.0077
158000000,-0.2658,29.3063
160000000,-0.3388,35.0289
162000000,-0.5581,40.9634
164000000,-0.7043,46.6859
166000000,-0.8504,52.4085
168000000,-0.9966,58.5549
170000000,-1.1428,64.7013
172000000,-1.2889,71.0597
174000000,-1.4351,77.8420
176000000,-1.5813,84.4123
178000000,-1.7275,91.4066
180000000,-1.9467,98.1888
182000000,-2.0198,105.3950
184000000,-2.0929,113.0251
186000000,-2.2391,120.8670
188000000,-2.4583,128.4971
190000000,-2.5314,135.9152
192000000,-2.5314,143.5453
194000000,-2.5314,151.5992
196000000,-2.5314,160.7129
198000000,-2.6045,169.8266
200000000,-2.6776,176.8208
202000000,-2.6776,170.0385
204000000,-2.8237,159.6532
206000000,-3.1161,148.8439
208000000,-3.4815,138.0347
210000000,-3.9931,128.0732
212000000,-4.5778,116.6281
214000000,-5.6010,107.7264
216000000,-6.2587,99.2486
218000000,-7.3550,88.2274
220000000,-9.0359,81.8690
222000000,-10.4246,79.5376
224000000,-11.3747,76.5703
226000000,-12.1055,72.5434
228000000,-12.7633,74.6628
230000000,-13.4941,56.6474
232000000,-16.2713,39.6917
234000000,-20.8757,17.2254
236000000,-27.6726,23.5838
238000000,-22.4105,112.3892
240000000,-15.4674,145.0289
