=== MODE 5: RAW SWEEP - OPEN Standard===
Points: 52
freq_hz,gain_dB,phase_deg
40000000,0.4879,176.8185
50000000,0.5610,165.5772
60000000,0.4879,152.8513
70000000,0.2684,142.2463
80000000,0.1222,133.1260
90000000,-0.0972,125.2784
100000000,-0.1704,118.2791
110000000,-0.1704,111.9161
120000000,-0.1704,105.3411
130000000,-0.0972,98.9781
140000000,-0.0241,92.8272
150000000,0.1222,86.6763
160000000,0.1953,80.7375
170000000,0.3416,74.5867
180000000,0.4879,68.4358
190000000,0.6341,62.2849
200000000,0.7073,56.1340
210000000,0.7804,49.9831
220000000,0.9267,43.6202
230000000,0.9267,37.4693
240000000,0.9998,31.5305
250000000,0.9998,25.3796
260000000,0.9998,19.4408
270000000,0.9267,13.2900
280000000,0.9267,7.7754
290000000,0.8535,2.2608
300000000,0.7804,-3.2538
310000000,0.7073,-5.7990
320000000,0.7073,-2.8296
330000000,0.6341,2.4729
340000000,0.6341,7.7754
350000000,0.7073,12.4416
360000000,0.7073,17.5319
370000000,0.7804,22.4102
380000000,0.8535,27.7127
390000000,0.9998,33.0152
400000000,1.1461,38.7419
410000000,1.2924,44.6807
420000000,1.5118,50.8315
430000000,1.6581,57.6187
440000000,1.8775,64.8301
450000000,2.0238,72.4657
460000000,2.0969,80.5254
470000000,2.1700,89.0094
480000000,2.1700,97.4934
490000000,2.0238,106.1895
500000000,1.8775,114.6734
510000000,1.6581,123.1574
520000000,1.3655,131.0051
530000000,1.0730,138.8527
540000000,0.7804,145.8520
550000000,0.4147,152.6392
--- sweep complete ---
