=== OSL RAW MEASUREMENTS ===
standard,freq_hz,gamma_mag,gamma_phase_deg
OPEN,50000000,1.076288,165.1852
OPEN,60000000,1.067283,151.8518
OPEN,70000000,1.040717,140.8466
OPEN,80000000,1.014812,132.1693
OPEN,90000000,0.981273,124.1270
OPEN,100000000,0.964921,117.3545
OPEN,110000000,0.956848,110.7937
OPEN,120000000,0.956848,104.8677
OPEN,130000000,0.964921,98.7302
OPEN,140000000,0.973063,92.8042
OPEN,150000000,0.997902,87.0900
OPEN,160000000,1.014812,81.1640
OPEN,170000000,1.023375,74.8148
OPEN,180000000,1.040717,68.6772
OPEN,190000000,1.058353,62.5397
OPEN,200000000,1.076288,56.6138
OPEN,210000000,1.094527,50.2645
OPEN,220000000,1.103762,44.1270
OPEN,230000000,1.113075,38.2011
OPEN,240000000,1.122466,31.8519
OPEN,250000000,1.122466,25.7143
OPEN,260000000,1.113075,19.3651
OPEN,270000000,1.113075,13.6508
OPEN,280000000,1.103762,7.7249
OPEN,290000000,1.094527,2.0106
OPEN,300000000,1.085369,-1.7990
OPEN,310000000,1.085369,-3.0688
OPEN,320000000,1.067283,-1.1640
OPEN,330000000,1.067283,2.8571
OPEN,340000000,1.067283,7.5132
OPEN,350000000,1.067283,12.5926
OPEN,360000000,1.076288,17.4603
OPEN,370000000,1.085369,22.3280
OPEN,380000000,1.094527,27.6190
OPEN,390000000,1.113075,33.1217
OPEN,400000000,1.122466,38.8360
OPEN,410000000,1.151119,44.7619
OPEN,420000000,1.180503,50.8995
OPEN,430000000,1.200508,57.8836
OPEN,440000000,1.231153,64.8677
OPEN,450000000,1.252016,72.6984
OPEN,460000000,1.262580,80.7407
OPEN,470000000,1.273233,88.9947
OPEN,480000000,1.273233,97.6720
OPEN,490000000,1.252016,106.1376
OPEN,500000000,1.241541,114.8148
OPEN,510000000,1.210638,122.8571
OPEN,520000000,1.170626,130.8995
OPEN,530000000,1.131937,138.7301
OPEN,540000000,1.094527,145.9259
OPEN,550000000,1.058353,152.6984
OPEN,560000000,1.023375,158.8360
OPEN,570000000,0.997902,164.7619
OPEN,580000000,0.964921,169.6296
OPEN,590000000,0.948842,172.3809
OPEN,600000000,0.933031,172.5926
SHORT,50000000,1.058353,16.8254
SHORT,60000000,1.067283,22.1164
SHORT,70000000,1.076288,28.0423
SHORT,80000000,1.076288,33.7566
SHORT,90000000,1.085369,40.3175
SHORT,100000000,1.103762,46.4550
SHORT,110000000,1.094527,53.0159
SHORT,120000000,1.094527,59.5767
SHORT,130000000,1.085369,66.7725
SHORT,140000000,1.067283,73.5450
SHORT,150000000,1.058353,80.7407
SHORT,160000000,1.032009,87.3016
SHORT,170000000,1.014812,94.0741
SHORT,180000000,0.997902,100.6349
SHORT,190000000,0.981273,107.4074
SHORT,200000000,0.964921,113.5450
SHORT,210000000,0.948842,119.8942
SHORT,220000000,0.940903,126.6667
SHORT,230000000,0.933031,133.2275
SHORT,240000000,0.925224,139.7884
SHORT,250000000,0.917483,146.3492
SHORT,260000000,0.917483,152.9101
SHORT,270000000,0.917483,159.8942
SHORT,280000000,0.917483,166.4550
SHORT,290000000,0.925224,171.7460
SHORT,300000000,0.933031,173.0159
SHORT,310000000,0.940903,169.8413
SHORT,320000000,0.948842,162.8571
SHORT,330000000,0.948842,155.0265
SHORT,340000000,0.948842,146.9841
SHORT,350000000,0.940903,139.1534
SHORT,360000000,0.933031,131.7460
SHORT,370000000,0.917483,124.1270
SHORT,380000000,0.902194,117.1429
SHORT,390000000,0.887161,110.5820
SHORT,400000000,0.872377,104.0212
SHORT,410000000,0.850663,97.6720
SHORT,420000000,0.829489,91.9577
SHORT,430000000,0.815666,86.6667
SHORT,440000000,0.802074,81.3757
SHORT,450000000,0.795363,76.5079
SHORT,460000000,0.788709,71.6402
SHORT,470000000,0.782110,66.9841
SHORT,480000000,0.775566,62.7513
SHORT,490000000,0.782110,58.3069
SHORT,500000000,0.782110,54.0741
SHORT,510000000,0.795363,49.8413
SHORT,520000000,0.802074,45.6085
SHORT,530000000,0.822548,40.9524
SHORT,540000000,0.843545,36.7196
SHORT,550000000,0.857840,31.6402
SHORT,560000000,0.887161,26.5608
SHORT,570000000,0.917483,21.2698
SHORT,580000000,0.948842,14.9206
SHORT,590000000,0.973063,8.5714
SHORT,600000000,1.014812,2.4339
LOAD,50000000,0.117112,29.5238
LOAD,60000000,0.115160,31.0053
LOAD,70000000,0.111354,32.6984
LOAD,80000000,0.110423,34.3915
LOAD,90000000,0.106773,37.7778
LOAD,100000000,0.103244,41.5873
LOAD,110000000,0.098169,45.3968
LOAD,120000000,0.093342,49.2063
LOAD,130000000,0.088753,52.3809
LOAD,140000000,0.086544,55.3439
LOAD,150000000,0.086544,59.7884
LOAD,160000000,0.085102,63.1746
LOAD,170000000,0.082289,62.7513
LOAD,180000000,0.085102,64.2328
LOAD,190000000,0.082984,62.9630
LOAD,200000000,0.089502,64.2328
LOAD,210000000,0.091787,61.9048
LOAD,220000000,0.091787,60.2116
LOAD,230000000,0.095725,57.8836
LOAD,240000000,0.101524,56.1905
LOAD,250000000,0.106773,51.7460
LOAD,260000000,0.114197,48.9947
LOAD,270000000,0.117112,45.3968
LOAD,280000000,0.123167,41.7989
LOAD,290000000,0.129535,38.8360
LOAD,300000000,0.133963,35.0265
LOAD,310000000,0.139710,32.2751
LOAD,320000000,0.146934,29.1005
LOAD,330000000,0.149424,24.8677
LOAD,340000000,0.154531,21.9048
LOAD,350000000,0.155835,19.7884
LOAD,360000000,0.159813,17.4603
LOAD,370000000,0.161162,16.6138
LOAD,380000000,0.162521,15.7672
LOAD,390000000,0.163893,16.4021
LOAD,400000000,0.162521,16.6138
LOAD,410000000,0.163893,18.3069
LOAD,420000000,0.162521,20.0000
LOAD,430000000,0.159813,22.9630
LOAD,440000000,0.158476,26.7725
LOAD,450000000,0.155835,30.7937
LOAD,460000000,0.153238,34.3915
LOAD,470000000,0.148174,38.8360
LOAD,480000000,0.143277,44.1270
LOAD,490000000,0.140889,49.6296
LOAD,500000000,0.138542,55.5556
LOAD,510000000,0.133963,61.4815
LOAD,520000000,0.129535,68.6772
LOAD,530000000,0.126311,76.9312
LOAD,540000000,0.124206,83.9153
LOAD,550000000,0.121115,91.7460
LOAD,560000000,0.119096,100.2116
LOAD,570000000,0.120101,108.4656
LOAD,580000000,0.115160,115.8730
LOAD,590000000,0.116132,124.5503
LOAD,600000000,0.116132,130.4762
