=== MODE 5: RAW SWEEP - LOAD/TERMINATED - DirCup -> standard ===
Points: 52
freq_hz,gain_dB,phase_deg
40000000,-19.1947,28.2466
50000000,-20.1448,26.5510
60000000,-21.0219,25.2794
70000000,-21.6796,22.3121
80000000,-21.9720,20.6166
90000000,-22.3374,20.4046
100000000,-22.8490,21.2524
110000000,-23.4337,21.4643
120000000,-24.3107,20.8285
130000000,-25.2608,19.3449
140000000,-26.2840,16.5896
150000000,-27.1610,11.5029
160000000,-27.8187,4.9326
170000000,-28.2573,0.4817
180000000,-28.2573,4.0848
190000000,-28.0380,12.9865
200000000,-27.5995,21.6763
210000000,-26.7225,28.8825
220000000,-25.6993,33.7572
230000000,-24.4568,36.0886
240000000,-23.4337,36.7245
250000000,-22.4105,36.3006
260000000,-21.5335,35.4528
270000000,-20.7295,33.3333
280000000,-19.9987,31.4258
290000000,-19.4140,28.8825
300000000,-18.8293,25.9152
310000000,-18.3908,22.7360
320000000,-17.9523,19.1329
330000000,-17.6600,15.7418
340000000,-17.3676,11.9268
350000000,-17.1484,8.1117
360000000,-16.9291,3.8728
370000000,-16.8560,-0.1542
380000000,-16.7099,-3.5453
390000000,-16.7099,-4.6050
400000000,-16.7099,-2.6975
410000000,-16.7829,1.3295
420000000,-16.8560,6.4162
430000000,-17.0022,11.5029
440000000,-17.2214,16.5896
450000000,-17.4407,22.1002
460000000,-17.6600,27.8227
470000000,-18.0254,33.9692
480000000,-18.3908,40.3276
490000000,-18.7562,47.1098
500000000,-19.2678,54.5279
510000000,-19.7063,62.5819
520000000,-20.1448,71.2717
530000000,-20.6564,80.8093
540000000,-21.0949,91.4066
550000000,-21.4604,102.8516
--- sweep complete ---
