=== MODE 5: RAW SWEEP - OPEN - DirCoup -> standard===
Points: 52
freq_hz,gain_dB,phase_deg
40000000,0.3592,156.8141
50000000,0.5059,165.9608
60000000,0.5059,173.1931
70000000,0.3592,177.0220
80000000,0.2125,175.3203
90000000,0.0658,172.3423
100000000,-0.0809,169.7897
110000000,-0.0809,167.4498
120000000,-0.0809,165.3227
130000000,-0.1542,163.1956
140000000,-0.1542,161.0684
150000000,-0.1542,159.3667
160000000,-0.0809,157.2395
170000000,-0.0075,155.1124
180000000,-0.0075,153.1980
190000000,0.0658,151.0708
200000000,0.0658,149.1564
210000000,0.2125,147.0292
220000000,0.2125,144.9021
230000000,0.2859,142.7749
240000000,0.3592,140.4351
250000000,0.3592,138.3079
260000000,0.4326,135.7554
270000000,0.5059,133.2028
280000000,0.5059,130.6502
290000000,0.5059,128.0977
300000000,0.5059,125.3324
310000000,0.4326,122.7798
320000000,0.3592,120.0145
330000000,0.2859,117.4619
340000000,0.1392,114.9094
350000000,0.0658,112.5695
360000000,-0.1542,110.2296
370000000,-0.3009,108.1025
380000000,-0.5209,106.1881
390000000,-0.7410,104.2736
400000000,-0.9610,102.7846
410000000,-1.1811,101.2956
420000000,-1.4011,100.2321
430000000,-1.5478,99.3812
440000000,-1.6945,98.7431
450000000,-1.9879,98.1049
460000000,-2.1346,97.8922
470000000,-2.2813,97.6795
480000000,-2.4280,97.6795
490000000,-2.5014,97.8922
500000000,-2.5014,98.1049
510000000,-2.5747,98.3176
520000000,-2.5747,98.9558
530000000,-2.5014,99.1685
540000000,-2.4280,99.5939
550000000,-2.3547,99.8066
--- sweep complete ---
