=== MODE 5: RAW SWEEP - SHORT - DirCup -> standard ===
Points: 52
freq_hz,gain_dB,phase_deg
40000000,0.7922,-2.6894
50000000,0.7922,-1.6310
60000000,0.7922,-0.1491
70000000,0.8652,1.1210
80000000,0.8652,2.6028
90000000,0.8652,3.8730
100000000,0.8652,5.3548
110000000,0.8652,6.6250
120000000,0.8652,8.3185
130000000,0.8652,9.8003
140000000,0.7922,11.2822
150000000,0.7922,12.9757
160000000,0.7922,14.4575
170000000,0.7922,15.9394
180000000,0.6462,17.4212
190000000,0.6462,18.9031
200000000,0.5732,19.9615
210000000,0.5732,21.4433
220000000,0.5002,22.7135
230000000,0.4272,23.7720
240000000,0.3542,25.0421
250000000,0.3542,26.1006
260000000,0.2812,27.1590
270000000,0.2812,27.7941
280000000,0.2812,28.8525
290000000,0.2082,29.4876
300000000,0.2812,30.5461
310000000,0.2812,31.3928
320000000,0.3542,32.0279
330000000,0.3542,32.8747
340000000,0.5002,33.9331
350000000,0.5732,34.7799
360000000,0.7192,35.8384
370000000,0.7922,36.8968
380000000,0.9382,38.1670
390000000,1.0842,39.6488
400000000,1.2302,41.1306
400000000,1.2302,41.1306
410000000,1.4492,42.8242
420000000,1.5951,44.5177
430000000,1.7411,46.6346
440000000,1.9601,48.9632
450000000,2.1061,51.2918
460000000,2.3251,54.0438
470000000,2.3981,56.7958
480000000,2.5441,59.9711
490000000,2.6901,63.1465
500000000,2.7631,66.5336
510000000,2.7631,70.1323
520000000,2.7631,73.9428
530000000,2.7631,77.7532
540000000,2.6171,81.3519
550000000,2.5441,84.9507
--- sweep complete ---
